8,19e-06
5,55e-06
6,05e-06
5,18e-06
6,089e-06
3,0209e-05
2,6469e-05
2,2179e-05
3,5058e-05
1,815e-05
3,0299e-05
4,6448e-05
5,2178e-05
4,0888e-05
3,8709e-05
0,000137005
0,0002594
9,6916e-05
0,000213192
0,000156844
0,000299918
0,000119275
0,000187253
0,000138374
0,000205462
0,0012689
0,00129161
0,000772139
0,000509439
0,00156132
0,00073111
0,00026166
0,000460801
0,000387235
0,000368735
0,00108146
0,00426625
0,00152419
0,00177665
0,0022525
0,000692572
0,000759569
0,000645374
0,000455122
0,000707511
0,00680586
0,00336111
0,00551159
0,002868
0,00649256
